"","ID","A1_1","A1_2","B1","C1_1","A2_1","A2_2","B2","C2_1","A3_1","A3_2","B3","C3_1","A4_1","A4_2","B4","C4_1","A5_1","A5_2","B5","C5_1","A6_1","A6_2","B6","C6_1","A7_1","A7_2","B7","C7_1","A8_1","A8_2","B8","C8_1","A9_1","A9_2","B9","C9_1","A10_1","A10_2","B10","C10_1","doubt_other_inst","doubt_same_inst","doubt_students","doubt_yourself","study"
"228","R_25f7kWLwmXSUZLL","82","29","1","3","71","39","2","2","80","80","1","3","81","60","1","3","30","9","2","1","61","19","2","2","10","0","2","1","70","38","1","3","81","80","1","3","9","5","2","1",NA,NA,NA,NA,"2"
"229","R_20oRHinK4ZjJ1JP","100","50","1","3","29","0","2","1","100","100","1","2","100","100","1","3","50","51","2","2","20","0","2","1","0","0","2","1","29","30","2","2","0","0","2","1","0","0","2","1","1","1","1","1","2"
"230","R_3r0PVjl2HfAdtUM","80","19","2","1","70","8","2","1","70","18","2","1","49","39","1","3","60","10","2","2","39","9","2","1","39","1","2","1","70","7","2","2","40","1","2","1","29","30","2","1","2","3","2","1","2"
"231","R_1dLWLzciVC6KQSZ","95","95","1","1","20","10","2","1","29","21","2","2","40","19","2","1","20","20","2","2","40","20","2","2","5","0","2","1","20","14","1","2","60","19","2","1","29","15","2","1","3","3","2","2","2"
"232","R_12AAxUP5gTQZnsX","59","50","1","1","10","9","2","1","59","60","1","2","40","30","2","3","3","0","2","1","39","30","2","1","9","0","2","1","40","40","2","3","19","20","2","1","15","0","2","1","2","2","2","1","2"
"233","R_5zg5yt3TtP2A9Eh","50","9","2","1","19","18","2","1","10","8","2","1","9","72","2","2","61","21","2","2","91","70","1","3","19","0","2","1","51","10","2","1","91","50","1","3","10","90","1","1","3","3","3","3","2"
"234","R_b2YSm7b55JQN4dT","80","49","2","2","50","1","2","1","91","50","1","2","60","50","1","2","40","50","2","2","80","19","2","1","50","0","2","1","70","9","2","1","50","50","2","1","40","81","2","1","3","1","2","2","2"
"235","R_yURp70EmquXu96F","49","19","1","2","9","4","2","1","61","40","1","2","30","9","2","2","20","5","2","1","29","9","2","1","10","2","2","1","50","30","1","2","30","20","2","1","19","5","2","1","2","2","1","1","2"
"236","R_5BYkSCp8nHX6m4l","9","0","2","1","10","10","2","2","10","10","2","2","70","100","1","3","9","0","2","2","81","61","1","3","1","0","2","1","20","0","2","1","71","9","2","3","10","0","2","1","1","1","1","1","2"
"237","R_3xbpVFWIcd9FntX","80","5","2","1","30","4","2","1","81","50","1","3","20","10","2","2","50","10","2","2","80","20","1","2","30","0","2","1","70","5","2","1","80","60","1","3","50","5","2","1","4","4","4","1","2"
"238","R_4Nhr10iqLP6YGIl","91","80","1","2","81","40","1","2","80","20","1","1","99","91","1","2","90","70","2","1","91","55","2","1","29","2","2","1","87","72","1","3","45","14","2","1","19","9","2","1","3","2","2","2","2"
"239","R_2ByrA5zBwQnfD8K","70","60","2","1","80","59","2","2","100","100","1","3","80","50","2","2","70","49","2","1","100","100","1","1","5","0","2","1","100","100","1","3","10","0","2","1","50","0","2","1","2","1","1","1","2"
"240","R_bOCTBEsDt4WebzL","50","2","2","1","9","2","2","1","20","5","2","1","51","9","2","2","30","3","2","1","10","2","2","1","10","3","2","1","60","4","2","1","62","8","2","1","19","4","2","1","2","1","1","1","2"
"241","R_3oSLHiaLlaXJRKr","61","19","2","1","50","11","2","1","70","29","2","2","31","31","1","2","50","32","2","2","31","31","2","1","40","0","2","1","51","19","1","2","70","9","2","1","40","10","2","1","3","3","3","2","2"
"242","R_5dKBWR8ttpkXxYN",NA,NA,"2","1","10","5","2","2","100","30","1","2","19","0","2","2",NA,NA,"2","1",NA,NA,"2","2",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1","1","1","1","1","2"
"243","R_etv3ikRjrF8YTf3","92","32","1","2","95","11","2","2","83","33","2","1","59","35","1","3","56","15","2","2","64","24","2","2","57","2","2","1",NA,NA,"1","3",NA,NA,"2","1","43","12","2","1","4","4","4","1","2"
"244","R_2RRrCnUXaaVcX4N","71","20","1","2","70","19","2","1","80","29","2","2","80","29","1","2","70","30","2","1","81","19","2","2","50","0","2","1","80","20","1","2","60","29","2","2","70","40","2","2","2","2","2","2","2"
"245","R_8hWoGyosY61o5vv","80","50","1","2","80","59","2","2","100","80","1","2","70","70","1","3","0","0","2","3","90","80","1","1","5","0","2","1","70","30","2","1","50","50","2","2","0","0","2","1","2","2","2","2","2"
"246","R_2aynOJrnM43aMHI","50","10","2","2","30","5","2","1","70","20","1","2","15","5","2","1","20","5","2","1","30","5","2","2","10","0","2","1","60","10","2","2","50","10","2","1","30","10","2","1","3","3","3","3","2"
"247","R_OiGImW9mwbD6yEF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","50","2","1",NA,NA,NA,NA,"2"
"248","R_0wh2JIDbtsaCUId","80","50","2","1","50","60","2","1","20","50","2","2","60","70","2","2","15","10","2","1","70","90","2","2","10","0","2","1","40","50","2","1","30","10","2","1","40","60","2","1","2","2","3","1","2"
"249","R_25EgdKdXfAPhQvO",NA,NA,"2","1",NA,NA,"1","2",NA,NA,"1","3",NA,NA,"1","2",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,"2","1",NA,NA,NA,"1","2"
"250","R_egoIn2X4Uke7e7P","75","10","1","2","30","6","2","1","70","31","1","2","65","39","1","2","49","9","2","2","61","9","2","1","19","0","2","1","91","40","1","2","60","40","2","1","71","20","2","1","2","2","2","2","2"
"251","R_1Uq5TEauLWp8tB7","50","25","2","2","80","20","2","2","81","60","1","2","80","60","2","2","19","0","2","2","39","29","2","1","19","0","2","1","70","30","1","2","90","50","1","2","19","0","2","1","3","2","2","1","2"
"252","R_1EiWH69hEwBjcNG","5","3","2","1","10","2","2","1","30","20","2","2","9","3","2","2","9","4","2","1","24","10","2","1","5","1","2","1","10","1","2","1","92","90","1","2","5","1","2","1","2","2","3","1","2"
"253","R_3mlDcZsP2SU6rkw","30","10","1","2","15","2","2","1","15","2","2","1","5","15","1","2","9","2","2","1","15","5","2","1","25","2","2","1","30","5","2","1","30","10","1","2","1","1","2","1","3","4","3","2","2"
"254","R_3rWKrbsGeINxmg5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","92","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"255","R_2xStJYCYf6QOULa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"256","R_cIUe1wzw5ijgBgx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"257","R_1TukUW9qWdTKOHP","81","20","2","1","21","5","2","1","60","30","2","2","62","39","1","2","21","15","2","1","71","20","1","2","10","5","2","1","50","9","2","1","19","9","1","2","20","10","2","1",NA,NA,NA,NA,"2"
"258","R_cw0P51iLbMkGiAl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"259","R_2cbYGsmOzmlcLCs","50","39","2","1","49","30","2","1","89","81","1","3","81","71","2","2","49","40","2","2","40","29","2","1","9","0","2","1","30","10","2","1","70","60","1","3","9","0","2","1",NA,NA,NA,NA,"2"
"260","R_1Do2vSkhn3Rl3iS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","8","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"90","1","1","3","82","11","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"261","R_3qpTuuijCmHUGYg","71","71","1","2","52","48","1","1","71","65","1","2","67","67","2","1","31","31","2","1","62","81","1","2","34","0","2","1","81","93","1","1","34","34","2","1","61","45","2","1",NA,NA,NA,NA,"2"
"262","R_bCb4e0fpIWCj3xP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"263","R_1IXJUOwoVuLanHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"264","R_1GIdhZE32ZpPCIH","91","29","1","1","69","39","1","1","95","28","1","2","80","51","1","3","50","10","2","1","90","38","1","2","40","0","2","1","81","18","2","1","60","20","2","1","40","0","2","1",NA,NA,NA,NA,"2"
"265","R_0SZSeHk8cNWwoyF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"266","R_6xJWMeAc5qer7h3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"267","R_8CkN7rIcNGLy5yl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"268","R_2qrCtEdVDTFZC55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"2"
"269","R_3qLzgxaPrQjqesB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"270","R_1I5DjUI14wgcX3u",NA,NA,NA,NA,NA,NA,NA,NA,"29","10","2","1",NA,NA,NA,NA,"0","0","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"271","R_bxWWNRQ4rHUMhM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"272","R_9H7og3xqL5DzPBb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"273","R_pF3FfadgFyPy6NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"274","R_3GeuOQE6UQrsq1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"275","R_7VueQXBmdWytefP","23","21","2","2","8","9","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"276","R_1IgWqwN10fsYzk8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","20","2","2","10","4","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"277","R_3QGGqymcoQK0DHi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"278","R_aVjh4dCsonRzcEd","70","71","1","3","21","33","2","1","59","59","1","2","50","50","1","2","5","7","2","1","62","59","2","1","10","8","2","1","21","9","2","2","50","51","2","1","50","51","2","1","3","3","2","1","2"
"279","R_2QLZAsPsVFgQ82X","50","10","2","2","41","0","2","2","50","20","1","3","80","0","2","3","19","0","2","2","20","20","2","1","10","0","2","1","20","9","2","1","20","0","2","1","9","0","2","1","2","2","2","1","2"
"280","R_3dWZBYuMaYqGs6Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"281","R_2aBb2wLuGWmDBGt","70","20","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","5","2","2",NA,NA,NA,NA,NA,NA,NA,NA,"50","15","2","1","30","5","2","1",NA,NA,NA,NA,"2"
"282","R_3IbUk9CtpfTIGMd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"283","R_4IrPLGEBpLfhbfL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"284","R_0JKNSz6cxhNTPoN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"285","R_33rIiGxkvnwdpo6","80","20","2","1","19","9","2","1","80","50","2","3","80","50","2","2","29","4","2","1","50","10","2","1","5","0","2","1","50","10","2","2","60","10","2","2","40","5","2","1","3","2","2","1","2"
"286","R_9FCbrkQZF6lhIfH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"287","R_2pSQbkC5vwQYwQv","90","50","1","2","29","29","2","1","50","50","2","2","50","50","2","2","50","40","2","3","70","39","1","2","10","10","2","1","50","39","1","2","29","10","2","2","20","20","2","1","2","2","2","1","2"
